Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.026    0.026   95.167   95.167 C:/Users/shahar/Research/RC_SET/dots_array.py:1336(runFullSimulation)
        1    0.000    0.000   84.054   84.054 C:/Users/shahar/Research/RC_SET/dots_array.py:1285(runSingleSimulation)
        1    0.001    0.001   83.980   83.980 C:/Users/shahar/Research/RC_SET/dots_array.py:886(calcIV)
       80    0.682    0.009   83.304    1.041 C:/Users/shahar/Research/RC_SET/dots_array.py:771(calcCurrent)
   387153    1.510    0.000   82.620    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:761(executeStep)
   387153    3.325    0.000   53.731    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:537(nextStep)
   754307    6.645    0.000   32.650    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:471(getRates)
   754307   13.198    0.000   26.004    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:459(getWork)
   387153    3.398    0.000   25.964    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:492(getTimeInterval)
   387153    6.854    0.000   18.422    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:404(developeQ)
1124615/1123477    3.492    0.000   14.574    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1141460   11.514    0.000   13.253    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:373(getNprime)
   387153    3.126    0.000    9.139    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:376(getbVector)
        1    0.000    0.000    8.238    8.238 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:426(figure)
        1    0.000    0.000    8.238    8.238 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backend_bases.py:3244(new_figure_manager)
        1    0.000    0.000    8.193    8.193 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:944(new_figure_manager_given_figure)
        1    0.000    0.000    7.123    7.123 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2003(__init__)
        1    7.059    7.059    7.059    7.059 {built-in method _tkinter.create}
   387154    0.460    0.000    6.282    0.000 <__array_function__ internals>:2(sum)
   387154    1.649    0.000    5.351    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2045(sum)
   367154    2.253    0.000    5.246    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:623(executeAction)
   367154    0.360    0.000    5.023    0.000 <__array_function__ internals>:2(searchsorted)
  3057226    4.035    0.000    4.035    0.000 {method 'dot' of 'numpy.ndarray' objects}
   734635    0.737    0.000    3.866    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
  3057228    1.881    0.000    3.841    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:30(flattenToColumn)
   367156    0.399    0.000    3.531    0.000 <__array_function__ internals>:2(cumsum)
   387540    1.070    0.000    3.485    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   755007    3.205    0.000    3.205    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   367154    2.993    0.000    2.993    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:559(tunnel)
   367156    0.509    0.000    2.727    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2358(cumsum)
  3444701    2.215    0.000    2.215    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    1.990    1.990 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:719(savefig)
        1    0.000    0.000    1.990    1.990 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:2038(savefig)
        1    0.000    0.000    1.990    1.990 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backend_bases.py:1958(print_figure)
