Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  242.317  242.317 C:/Users/shahar/Research/RC_SET/dots_array.py:1336(runFullSimulation)
        1    0.000    0.000  241.127  241.127 C:/Users/shahar/Research/RC_SET/dots_array.py:1285(runSingleSimulation)
        1    0.001    0.001  241.126  241.126 C:/Users/shahar/Research/RC_SET/dots_array.py:886(calcIV)
       80    1.287    0.016  240.821    3.010 C:/Users/shahar/Research/RC_SET/dots_array.py:771(calcCurrent)
   586404    2.339    0.000  239.532    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:754(executeLeapingStep)
   586404    4.583    0.000  142.252    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:550(nextLeapingSteps)
   586404   31.746    0.000   94.942    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:511(getLeapingTimeInterval)
11897593/5099607    8.259    0.000   72.570    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   566405   34.661    0.000   69.092    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:600(executeMultipleActions)
  1152809   10.664    0.000   42.605    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:471(getRates)
  1132810    1.217    0.000   39.583    0.000 <__array_function__ internals>:2(split)
  1132810    1.529    0.000   37.117    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\shape_base.py:782(split)
  1132810    1.041    0.000   35.339    0.000 <__array_function__ internals>:2(array_split)
  1132810   12.625    0.000   32.928    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\shape_base.py:722(array_split)
  1152809   14.596    0.000   31.941    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:459(getWork)
   566405   11.275    0.000   25.664    0.000 {method 'poisson' of 'numpy.random.mtrand.RandomState' objects}
   586404    8.896    0.000   23.333    0.000 C:/Users/shahar/Research/RC_SET/dots_array.py:404(developeQ)
  3398797    7.113    0.000   22.213    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
  5664050    4.281    0.000   19.442    0.000 <__array_function__ internals>:2(swapaxes)
